"sex","age","n1","n2","n3","n4","n5","n6","n7","n8","n9","n10","n11","n12","n13","n14","n15","n16","n17","n18","n19","n20","n21","n22","n23","n24","n25","n26","n27","n28","n29","n30","n31","n32","n33","n34","n35","n36","n37","n38","n39","n40","n41","n42","n43","n44","n45","n46","n47","n48","n49","n50","n51","n52","n53","n54","n55","n56","n57","n58","n59","n60","neurotiz","extraver","offenhei","verträgl","gewissen"
0,25,2,1,1,3,4,2,3,2,3,3,2,4,2,1,2,3,3,2,3,3,1,0,2,2,4,3,1,3,2,1,2,2,3,3,2,1,3,4,1,3,3,0,3,1,1,3,2,2,3,3,3,2,3,2,4,2,0,2,1,2,31,21,29,25,32
1,50,3,1,2,2,2,3,2,3,3,3,2,2,3,4,3,2,3,4,3,3,3,1,3,2,1,1,1,2,2,1,3,2,4,3,1,2,2,3,3,4,2,2,3,1,3,2,1,3,3,3,1,3,4,2,3,3,1,3,4,1,31,21,37,32,28
0,21,3,1,2,2,1,3,2,1,2,1,1,2,1,1,2,1,2,1,3,3,1,2,3,2,3,1,1,3,1,0,0,1,1,1,1,3,2,1,1,1,1,2,3,3,4,4,1,3,2,3,3,3,1,4,4,1,2,1,1,3,24,21,21,23,26
1,30,2,1,2,3,3,2,3,1,3,3,2,2,1,2,4,2,2,1,3,4,3,0,1,1,3,2,1,3,1,4,3,2,1,3,2,3,2,2,1,3,1,2,1,2,3,2,2,1,3,3,2,2,2,3,4,2,2,1,2,2,31,21,17,27,38
0,28,3,0,1,2,3,3,3,3,3,3,2,3,4,3,4,3,2,1,3,3,2,3,4,2,3,1,0,1,3,1,3,2,0,2,3,4,2,2,3,3,2,2,4,0,3,2,1,4,3,3,3,2,4,1,4,1,1,3,1,4,32,21,31,26,37
1,29,3,2,1,4,3,1,2,1,4,2,1,2,2,3,3,2,2,2,2,4,4,1,3,4,3,1,1,2,1,3,3,2,3,4,1,3,2,2,4,2,0,2,1,3,2,3,2,3,4,3,1,2,2,3,4,3,2,2,4,4,30,22,24,40,34
1,22,1,1,3,3,3,1,3,3,3,3,1,3,1,1,3,1,3,4,3,3,1,1,1,1,1,3,1,1,1,3,3,1,3,3,3,3,3,4,3,3,1,3,1,3,1,1,1,3,3,3,1,1,3,3,3,1,1,3,3,3,22,22,30,30,32
1,25,1,1,1,2,3,1,3,3,4,3,0,3,1,2,3,1,0,3,2,3,1,2,1,3,3,1,2,1,3,3,1,2,2,3,2,0,2,4,3,3,2,2,1,1,3,1,1,4,2,2,1,2,3,2,3,3,2,3,2,3,15,22,27,29,34
0,34,1,1,3,2,3,2,2,1,3,3,1,2,2,2,3,2,2,1,3,4,1,1,3,2,3,3,3,3,1,3,3,2,3,3,3,3,2,3,1,3,1,3,3,2,3,1,1,2,3,3,1,2,3,1,3,1,1,3,1,2,24,22,30,24,36
0,20,1,3,3,3,4,3,4,3,2,3,4,3,4,2,1,3,4,4,4,4,2,1,4,2,0,3,1,2,1,2,3,1,4,3,2,1,3,4,2,4,3,1,4,1,4,3,0,4,2,3,2,1,4,0,4,3,1,4,4,3,36,23,44,26,34
1,25,3,1,2,3,4,2,2,4,2,2,1,2,4,2,4,2,3,4,2,3,1,1,4,1,2,2,1,4,2,2,1,2,3,3,2,2,2,3,2,3,0,2,4,1,3,2,2,4,2,2,0,3,4,3,4,2,2,4,1,4,21,23,44,24,35
0,50,4,3,4,4,4,3,3,3,2,3,3,1,3,4,3,3,3,3,3,4,2,1,3,2,3,3,1,3,2,3,3,2,3,3,3,3,3,4,4,4,3,2,3,2,2,3,1,3,3,1,1,3,2,3,4,1,1,3,4,2,37,24,37,36,36
0,29,4,3,1,4,1,1,0,2,3,4,1,1,2,4,4,1,2,4,3,2,1,3,1,4,2,0,3,2,1,3,3,2,4,2,1,2,2,4,4,4,1,3,2,4,4,1,0,0,4,2,2,2,1,1,4,3,3,0,4,0,21,24,23,38,31
1,22,2,3,3,3,3,2,4,4,3,2,1,1,2,2,1,3,2,3,1,1,3,2,1,2,1,3,2,1,3,1,1,3,2,3,2,1,1,4,4,3,2,1,3,3,2,3,1,3,2,1,3,3,2,0,3,2,1,2,1,3,32,24,30,27,23
0,31,2,3,3,3,3,2,1,3,3,3,3,2,2,3,1,2,3,3,3,3,2,2,3,3,3,1,1,2,2,3,2,2,3,3,4,3,2,2,1,3,1,2,3,1,3,2,1,3,3,2,2,3,3,2,3,2,2,4,1,2,27,24,34,28,33
0,26,3,3,1,4,3,1,1,2,3,3,3,3,3,3,3,1,0,3,0,3,1,3,2,3,3,1,1,3,4,3,1,1,1,4,3,1,3,3,4,3,1,3,2,3,2,1,2,1,3,3,1,3,4,0,3,2,1,1,3,3,19,24,26,34,35
0,49,2,2,2,1,1,1,1,3,3,0,1,3,4,2,0,3,2,2,1,3,3,3,1,1,1,3,1,3,1,0,1,3,4,1,2,2,2,3,2,1,2,2,3,1,0,2,2,2,4,1,3,3,3,1,2,3,0,3,2,1,32,24,33,20,12
1,26,0,1,3,3,0,3,3,3,3,2,0,3,3,3,2,1,3,4,3,3,1,0,1,1,0,1,3,3,3,1,1,1,3,2,2,1,3,4,2,3,1,3,1,1,3,1,2,3,3,1,1,1,2,3,2,1,1,3,1,3,14,24,33,28,22
1,24,2,3,3,3,3,2,2,3,4,3,2,3,2,2,3,3,3,2,2,3,2,2,3,2,2,1,2,2,1,2,1,1,3,2,2,3,2,3,4,3,1,1,4,2,3,2,2,3,3,2,1,2,4,2,4,4,2,2,3,2,27,25,34,30,32
1,21,1,3,0,3,4,0,2,4,3,3,0,4,4,3,4,2,4,4,1,4,0,1,4,4,3,1,1,3,3,4,3,2,3,2,2,3,1,4,3,3,1,3,3,1,3,2,1,4,4,4,0,2,4,3,4,0,1,4,4,3,14,25,41,34,41
0,52,1,2,3,4,4,4,4,2,4,3,2,4,4,4,1,4,4,0,4,4,4,2,4,4,4,0,0,4,1,3,2,1,3,3,1,1,0,4,4,4,0,4,4,3,3,3,0,2,4,2,2,2,4,2,4,4,2,1,4,4,31,25,35,41,37
0,59,1,2,1,3,3,1,3,3,3,3,2,2,4,4,4,3,4,3,3,4,3,0,3,3,3,0,0,3,3,2,2,2,3,3,2,1,3,1,4,4,0,3,3,3,4,3,0,4,2,2,0,4,4,2,3,1,2,3,4,3,20,25,35,37,37
1,26,3,2,0,2,3,2,1,4,3,4,0,3,2,3,4,3,3,3,3,3,1,4,0,1,4,1,0,3,1,3,2,3,3,1,3,3,2,4,1,4,1,1,1,1,3,1,3,4,1,3,1,2,2,0,4,1,1,3,1,4,21,25,29,18,42
1,48,3,1,1,2,4,0,3,3,2,3,1,2,3,4,0,1,3,3,4,4,3,0,3,2,3,0,2,4,0,4,2,2,3,2,2,1,3,3,3,4,1,3,3,3,3,1,1,4,3,2,0,2,3,1,4,3,3,3,4,1,19,25,36,30,34
0,18,4,1,3,4,2,3,4,3,2,2,1,2,3,3,3,2,4,4,3,3,2,1,3,2,1,4,4,3,4,1,3,1,3,3,3,1,2,2,4,4,1,2,3,3,2,2,1,3,3,3,2,2,3,3,3,4,1,3,3,1,35,25,36,37,28
1,24,1,1,2,3,2,0,4,3,4,3,1,1,2,4,3,1,3,3,2,4,1,0,3,2,3,0,2,2,1,3,1,3,3,3,3,2,3,4,3,3,1,3,2,3,3,1,2,3,3,3,1,2,3,1,3,3,1,3,1,2,14,25,33,30,35
1,20,3,3,3,2,2,1,3,2,3,1,0,3,3,2,2,3,3,2,3,3,3,3,2,2,2,1,0,3,2,1,2,2,3,3,2,2,3,4,2,2,3,2,2,1,1,3,2,3,3,1,2,0,4,1,2,2,2,3,1,1,29,26,34,25,20
0,32,3,3,2,3,3,2,3,3,3,2,2,3,3,3,2,1,3,2,3,3,1,1,3,3,2,2,2,3,3,2,1,2,1,3,2,1,2,3,3,3,3,1,3,2,3,1,2,3,3,2,1,2,2,3,3,3,3,3,3,1,24,27,31,35,28
0,30,3,2,2,2,3,3,3,3,1,1,3,3,3,4,1,3,4,3,3,2,3,2,2,3,3,2,3,4,2,1,3,2,4,3,2,3,3,3,4,3,3,2,4,1,1,3,1,3,3,2,1,1,3,1,4,3,1,3,2,2,38,27,37,29,25
0,60,3,2,1,3,2,1,2,4,3,3,4,3,4,2,3,1,3,1,4,3,2,0,3,4,3,0,2,2,1,3,2,3,4,3,1,2,3,3,2,3,1,3,3,4,3,1,1,4,4,2,0,2,3,3,3,3,3,3,3,1,22,27,35,36,30
0,25,1,2,2,3,3,2,2,3,3,3,1,3,4,2,3,2,4,3,4,4,1,3,3,4,3,1,1,2,2,1,2,2,4,3,2,1,3,3,3,4,0,2,4,3,1,2,1,3,3,2,1,3,4,1,4,2,1,2,3,3,18,27,37,34,33
1,53,1,2,0,2,3,1,2,3,4,3,1,2,3,3,3,1,3,4,3,3,2,1,4,2,3,0,2,3,1,3,1,2,3,3,3,0,3,1,3,4,0,3,3,2,3,1,2,4,3,3,1,2,3,2,4,2,3,3,4,3,13,27,34,32,38
1,27,1,2,0,3,4,2,2,2,1,4,4,2,1,2,4,4,3,1,2,4,3,1,2,1,4,2,2,2,2,4,2,1,4,3,4,0,2,3,4,4,0,1,0,2,4,1,4,2,3,4,1,4,3,1,4,0,3,1,2,4,25,27,21,26,48
1,31,1,2,2,3,3,1,3,3,3,2,1,3,3,3,4,1,2,4,3,4,2,1,3,3,2,1,2,4,4,1,1,2,4,4,2,1,3,4,2,4,0,3,4,2,1,2,1,3,2,3,2,2,3,2,4,2,3,4,3,2,18,27,41,34,32
1,22,1,2,2,4,3,3,3,2,3,1,3,1,2,2,3,1,3,2,4,3,2,3,2,2,1,1,1,1,3,0,2,1,3,3,2,2,3,4,3,3,3,3,1,2,2,1,3,1,3,2,1,3,3,3,4,3,1,2,3,3,26,27,25,35,27
0,53,0,2,2,4,4,2,2,0,2,4,2,3,4,2,2,2,2,2,4,4,2,2,2,2,4,3,2,2,0,3,2,2,4,2,4,2,2,4,3,4,2,0,2,2,4,2,4,2,4,4,2,4,4,2,4,2,2,4,4,2,28,27,32,31,43
0,22,1,1,1,3,2,1,1,4,4,3,3,1,3,3,2,4,4,1,4,3,3,3,4,3,2,3,3,3,3,1,4,4,4,2,2,3,2,3,3,4,3,1,3,3,3,3,3,4,4,3,4,3,4,1,4,1,1,4,4,4,39,27,38,37,33
1,25,0,2,1,3,3,0,2,2,4,4,1,3,2,4,3,1,3,2,3,4,1,3,1,3,4,0,1,1,2,2,2,1,2,3,3,1,3,1,3,4,1,4,3,2,3,1,0,3,3,3,0,4,3,2,4,1,2,2,3,3,10,28,23,35,40
1,22,2,2,1,3,1,1,2,1,3,4,1,3,2,1,2,1,3,3,3,3,2,2,1,2,3,1,2,3,3,3,1,2,3,2,3,2,3,3,2,4,1,2,2,1,3,2,3,3,3,3,1,3,4,1,2,2,1,3,2,3,20,28,29,26,34
0,34,3,1,2,2,4,1,3,4,1,4,1,2,1,1,4,2,3,3,3,4,2,1,1,1,4,0,2,0,1,4,3,4,4,2,4,2,2,4,1,4,1,1,4,1,4,2,4,4,2,3,1,2,4,1,4,2,3,3,1,3,22,28,34,17,46
0,47,1,3,1,2,3,1,3,3,4,3,3,2,4,4,1,1,4,3,4,3,3,3,3,3,3,0,2,3,0,3,1,2,3,3,2,1,3,2,4,4,3,3,3,3,3,1,1,3,4,2,1,2,3,1,4,3,1,3,3,1,22,29,34,35,32
1,43,3,3,4,1,1,1,2,4,3,2,2,3,4,4,1,3,4,3,4,3,1,2,4,1,2,1,2,4,2,1,3,2,4,3,3,2,2,2,4,3,0,3,3,3,1,2,1,4,4,2,1,3,4,2,3,2,2,4,3,2,23,29,44,34,24
1,24,1,3,1,2,2,1,3,3,4,3,1,2,3,4,3,3,3,4,3,3,3,3,1,1,4,1,1,4,1,2,1,3,3,3,3,1,2,4,1,3,1,0,3,0,3,3,3,4,2,2,1,3,2,1,3,0,3,4,2,4,21,29,36,24,35
1,22,2,3,2,3,2,1,2,3,3,3,1,2,3,2,4,2,3,4,2,3,1,3,3,2,3,0,2,1,2,3,1,2,4,2,3,2,3,2,2,4,1,4,3,1,3,1,1,3,3,3,2,2,3,2,3,3,2,4,4,3,18,29,35,28,37
0,52,1,3,4,4,2,3,3,3,3,2,3,3,3,2,1,2,3,3,4,2,1,2,2,1,3,2,3,1,3,1,4,2,3,2,1,1,3,4,3,3,1,3,2,4,2,1,1,4,4,1,3,2,3,2,2,3,1,3,4,0,28,29,35,36,20
0,55,1,2,1,3,4,2,3,0,3,4,1,3,3,3,4,1,3,3,3,4,1,2,2,1,3,1,2,3,2,3,1,2,3,2,2,1,3,4,2,3,1,3,2,2,3,1,1,2,2,3,1,3,2,3,4,1,2,1,3,2,15,29,26,29,39
1,33,0,3,2,3,3,1,3,2,3,4,0,3,2,4,3,1,4,2,3,3,0,1,2,3,3,1,3,2,3,4,1,2,3,2,2,1,2,2,4,4,0,3,2,2,4,1,0,2,3,3,0,3,2,1,4,2,3,2,4,3,9,30,25,35,40
1,29,2,3,1,2,2,1,3,3,1,1,3,3,1,3,1,1,4,3,3,2,3,2,3,1,2,3,1,2,0,2,3,1,3,3,2,3,3,3,3,1,3,1,4,2,1,2,4,3,3,1,3,2,3,3,3,3,3,3,2,1,36,30,32,26,19
0,23,1,3,1,3,3,1,3,3,4,3,3,3,2,4,3,3,4,3,3,3,1,1,3,3,3,2,3,3,3,3,3,1,3,3,3,1,3,3,4,4,1,2,3,3,3,3,1,3,3,3,1,3,3,2,3,1,3,3,3,1,24,30,33,38,35
1,22,3,3,1,2,4,1,4,3,4,3,1,1,2,0,3,1,4,2,3,4,1,3,3,1,3,0,2,0,0,3,3,3,3,3,3,3,3,2,1,4,0,2,3,0,3,1,1,4,1,3,1,2,3,1,3,3,2,3,1,3,19,30,29,17,39
1,25,2,3,1,3,2,3,4,2,3,1,1,1,4,2,1,1,4,1,3,3,2,1,3,4,1,2,3,3,1,1,3,3,3,3,1,2,3,1,3,3,1,3,4,1,1,1,1,3,3,1,1,2,3,2,3,3,2,1,1,2,26,30,29,29,20
0,33,1,2,1,3,4,2,4,2,3,3,2,1,4,3,3,2,3,1,3,3,1,3,2,3,3,1,3,3,1,3,2,2,3,3,4,1,3,3,3,3,1,3,2,2,3,2,1,2,3,3,1,3,2,1,3,1,2,2,3,1,19,30,27,31,36
0,25,1,2,3,4,3,2,4,4,3,4,3,4,4,4,1,2,3,3,3,4,2,0,2,3,3,2,2,3,2,3,2,3,4,3,4,2,3,4,4,4,2,2,3,3,4,2,2,4,4,3,2,3,3,1,3,3,2,3,4,2,29,30,40,38,38
1,24,1,2,3,3,1,2,3,3,3,1,3,2,4,3,3,1,3,3,4,2,3,1,3,2,1,3,3,3,2,1,1,2,3,3,3,3,3,3,3,3,1,3,4,1,1,2,3,4,3,2,1,2,4,1,1,1,3,4,3,1,28,30,41,31,20
1,24,1,2,2,3,1,1,2,4,2,3,1,2,3,3,3,2,4,4,2,3,3,3,2,3,3,0,2,3,3,1,1,2,2,3,3,1,3,4,3,3,1,2,3,1,1,2,2,3,3,2,3,3,3,2,3,3,3,3,2,3,22,30,36,30,29
0,36,2,1,3,3,1,2,2,3,3,0,4,2,4,3,3,1,4,3,2,4,3,2,3,2,3,0,3,3,1,1,2,2,4,4,4,3,3,3,2,4,1,2,3,3,4,2,4,4,3,3,1,3,4,2,1,2,2,4,4,4,26,30,41,32,32
1,31,3,1,1,3,1,2,3,3,4,2,3,3,1,3,2,1,3,2,4,3,3,3,1,2,2,1,2,1,1,2,2,4,3,3,2,3,3,4,3,3,2,3,1,4,3,1,3,3,3,4,2,2,3,4,2,3,0,2,4,1,30,30,25,38,27
0,31,3,2,0,3,2,1,2,3,1,4,2,3,3,3,4,1,3,3,2,4,2,2,3,1,4,0,3,3,1,4,3,2,3,2,3,1,2,2,1,4,1,4,4,2,1,2,2,3,3,3,1,3,3,0,3,2,3,3,4,4,21,31,33,23,40
0,26,1,2,1,3,3,1,2,3,4,2,1,4,3,4,3,0,3,4,3,3,1,1,3,3,3,0,3,3,2,1,2,1,3,3,3,1,4,3,4,3,1,4,3,3,3,1,1,3,3,2,1,3,3,3,3,3,3,3,3,1,14,31,35,38,30
0,34,3,2,1,3,3,2,2,3,4,3,1,3,4,1,1,3,3,4,3,3,2,2,4,3,3,3,2,2,2,3,3,4,4,2,3,1,2,3,1,4,0,3,4,2,1,3,1,3,3,3,3,3,4,0,1,3,4,4,2,0,32,31,40,26,28
0,31,2,1,2,1,3,0,3,2,2,1,2,4,3,4,2,3,4,4,4,4,1,2,3,3,0,2,1,3,2,1,3,4,4,3,1,2,3,4,4,4,1,2,3,4,3,3,1,4,3,1,0,3,3,1,4,4,3,3,4,3,26,31,38,35,27
0,22,3,3,3,3,2,0,4,2,4,4,0,3,4,2,1,1,4,3,3,4,0,2,3,3,3,0,2,4,2,0,1,2,3,3,2,0,3,3,3,4,0,2,4,0,4,1,2,2,2,2,0,3,4,0,2,1,2,2,4,1,7,32,37,29,29
0,29,3,3,4,3,2,3,3,3,3,1,4,3,3,3,1,3,4,4,4,3,3,2,3,3,1,4,1,4,2,1,3,4,4,3,1,2,3,1,4,3,3,3,4,3,1,3,1,3,3,3,4,4,3,2,1,1,1,3,4,1,43,32,39,37,19
0,20,3,3,2,3,4,1,4,2,3,4,1,1,2,4,3,1,4,3,4,4,1,3,1,2,3,1,2,4,3,4,3,2,3,2,4,2,3,2,4,4,1,4,1,2,4,1,1,3,3,4,1,3,3,2,4,1,2,3,4,3,19,32,29,36,45
0,22,1,3,3,4,2,3,4,3,3,3,1,4,4,2,3,3,3,3,4,4,2,2,2,3,4,3,2,1,2,2,1,3,4,2,3,3,3,2,4,3,1,2,3,2,2,3,2,2,4,1,2,3,4,3,3,3,1,2,4,3,31,32,33,37,33
0,21,3,3,2,3,3,1,3,2,3,2,1,4,1,4,4,1,3,3,4,3,1,2,4,2,3,0,2,3,3,2,3,2,3,3,2,1,3,4,3,3,1,3,3,3,3,1,1,3,2,2,1,3,3,1,3,3,3,2,1,2,18,32,33,32,32
1,25,1,2,3,3,3,1,4,4,2,3,3,3,4,4,2,3,3,2,3,3,1,2,4,1,2,2,3,3,1,1,3,2,3,3,3,2,3,2,3,3,2,2,3,2,3,2,2,4,2,2,2,3,3,2,3,3,3,2,3,2,28,32,37,29,30
0,30,3,1,3,3,2,3,4,1,4,4,4,3,2,4,4,4,3,3,2,4,4,4,4,4,3,4,4,1,3,4,3,1,4,4,4,3,2,4,4,4,0,0,4,4,4,4,4,3,4,3,0,4,3,1,3,1,2,0,4,4,41,32,32,41,43
0,23,0,4,1,4,1,2,3,4,4,3,1,4,3,3,3,1,3,3,3,2,1,0,3,2,2,1,2,4,3,1,2,3,3,3,1,2,3,4,3,3,3,3,2,1,1,1,4,4,3,2,0,4,3,4,2,3,0,3,4,1,19,33,37,37,22
1,24,2,3,3,3,3,1,3,4,3,3,0,3,4,2,3,1,3,4,3,2,1,2,3,3,3,0,2,3,3,1,1,3,3,3,3,1,3,4,1,4,0,3,4,2,1,1,2,4,3,2,1,3,4,1,3,1,3,4,3,2,11,33,44,30,30
0,49,1,3,2,3,3,1,3,4,4,3,1,3,3,3,3,2,3,4,4,3,1,2,3,3,4,0,2,3,3,3,3,2,4,3,2,1,3,2,4,3,0,4,3,3,3,1,2,3,3,3,0,3,4,3,4,2,3,3,3,3,14,33,38,39,37
0,20,2,3,1,3,2,1,4,2,2,3,1,3,4,3,3,2,3,1,4,4,2,3,2,3,3,1,3,3,1,1,3,2,3,2,2,3,3,3,3,4,1,2,3,0,3,2,2,2,2,2,3,2,3,1,3,2,3,2,2,4,26,33,29,26,34
0,27,1,3,3,3,3,1,2,2,3,1,1,4,2,3,2,2,4,3,2,3,1,3,2,2,2,1,3,2,2,2,2,2,3,3,3,2,3,4,4,3,1,4,3,3,3,2,1,3,2,3,1,2,3,0,3,2,2,2,4,1,19,33,32,31,29
0,25,3,3,2,3,3,1,3,4,3,2,1,3,3,3,3,2,3,3,2,3,1,3,3,3,3,0,2,3,4,1,3,2,3,3,3,1,3,3,2,3,1,3,1,3,3,2,2,3,2,3,0,3,3,2,4,3,3,3,3,3,19,33,34,33,34
1,24,1,3,3,3,2,1,3,3,3,2,3,4,3,1,2,2,3,4,3,3,1,2,4,3,2,0,3,3,3,3,2,2,3,3,3,2,3,4,3,4,0,3,3,2,3,2,1,3,3,3,1,3,3,1,4,2,3,3,4,3,18,33,39,32,34
0,21,1,4,3,4,3,1,3,2,3,3,1,4,2,4,4,1,4,3,4,3,1,1,1,3,3,0,3,3,3,2,1,2,3,3,3,2,4,4,3,4,1,3,1,1,3,1,1,3,4,3,1,3,3,2,3,1,2,3,3,3,13,34,31,37,37
1,25,0,3,3,4,1,0,2,3,4,2,1,4,3,3,1,0,4,4,4,1,0,2,2,2,1,0,3,4,4,0,1,3,3,4,1,2,4,2,3,3,1,4,3,3,1,0,1,3,4,0,2,2,3,2,1,2,2,3,1,0,9,34,36,38,12
0,23,3,3,2,4,1,3,4,3,2,1,1,3,3,4,1,2,4,4,4,3,1,2,3,3,1,2,3,1,3,0,3,2,4,3,1,3,3,1,4,3,3,3,4,3,0,2,2,3,4,1,3,3,2,3,1,3,2,3,4,2,32,34,33,41,15
0,23,1,2,3,4,3,1,4,0,4,3,1,4,4,3,1,1,4,1,4,4,0,1,3,3,2,3,4,4,2,3,2,3,4,4,2,0,4,3,4,4,1,2,3,1,1,1,0,2,1,3,1,3,3,1,4,3,3,2,4,1,18,34,32,35,31
0,22,1,4,1,4,3,0,4,4,3,2,1,2,2,4,3,2,4,2,4,4,1,3,3,1,3,1,3,3,1,1,2,1,3,3,3,3,3,2,4,4,1,2,3,1,1,3,3,3,4,3,2,3,3,3,2,1,3,3,4,4,20,35,32,36,33
0,22,1,4,3,4,2,2,4,3,4,3,0,3,3,3,1,1,4,4,3,3,1,2,3,4,2,0,3,4,4,0,1,2,4,3,2,1,3,2,3,1,1,3,3,2,1,1,2,3,4,2,3,3,4,4,2,4,2,3,4,2,17,35,39,42,21
0,22,1,3,1,4,4,1,3,3,4,3,1,3,4,4,4,1,4,4,2,4,0,1,4,3,4,0,3,4,1,3,1,2,4,4,4,1,4,2,4,4,0,4,3,2,4,1,2,4,3,4,1,3,3,2,3,2,3,3,2,4,10,35,39,35,45
1,30,1,3,3,4,1,2,2,1,3,3,0,2,2,0,3,0,3,3,3,2,1,3,0,1,4,0,4,3,0,4,3,3,2,2,2,3,3,3,2,4,1,1,1,1,1,0,3,3,4,1,1,4,3,4,2,4,4,4,1,1,17,35.5,28,25,28
0,21,1,3,1,3,2,1,3,3,3,2,3,4,3,1,4,1,3,3,3,4,1,4,2,2,3,1,2,2,1,1,0,3,4,3,3,1,3,4,1,4,2,3,4,1,3,1,2,4,4,3,2,3,3,2,4,3,3,3,2,4,19,36,36,26,37
0,21,1,3,2,4,3,2,4,3,4,4,1,4,2,3,4,0,3,3,3,4,1,2,4,4,3,1,3,2,2,4,1,3,4,2,3,1,4,1,4,4,1,3,4,3,3,1,1,3,4,3,0,4,4,2,4,2,2,3,4,2,14,36,35,39,41
1,25,1,4,1,4,3,1,4,3,3,1,1,3,3,1,3,2,4,4,4,3,1,2,4,4,4,1,3,4,3,4,2,3,3,3,3,1,4,4,2,3,1,3,3,4,3,1,2,3,4,3,1,3,4,1,4,1,2,3,1,4,16,37,39,34,38
1,47,3,4,2,3,2,1,3,4,4,1,3,3,2,2,1,1,4,2,4,3,2,4,3,1,1,2,3,4,4,0,3,2,3,3,1,1,3,2,1,3,3,3,3,0,3,1,3,3,3,3,1,3,3,1,0,2,3,3,0,4,27,38,34,26,22
0,27,3,3,2,3,3,1,4,1,4,4,1,4,2,3,3,1,4,2,2,4,1,2,2,3,3,0,3,1,2,3,1,3,3,4,3,1,4,2,3,3,0,4,1,2,1,1,1,1,2,2,1,4,2,2,3,1,2,0,3,2,13,38,19,33,34
0,26,1,4,4,4,2,0,4,3,4,1,1,4,4,3,1,1,4,4,4,3,0,2,4,4,3,0,3,4,3,1,2,2,4,3,2,1,4,4,4,4,1,4,4,3,4,1,3,3,4,2,0,4,4,1,1,2,1,3,4,2,10,39,45,41,26
1,22,3,3,3,3,4,0,4,4,1,1,1,4,3,4,4,3,4,4,3,2,0,3,1,3,4,0,3,4,3,0,3,4,3,4,1,1,4,4,3,4,0,4,3,3,1,0,1,4,2,1,0,3,4,1,3,3,2,4,3,2,14,39,41,33,27
1,28,3,4,1,4,1,1,2,4,3,1,0,4,3,2,1,0,4,4,4,3,2,4,3,3,2,0,3,3,1,1,0,4,3,3,1,1,4,4,2,3,1,3,3,2,2,1,4,3,2,2,1,3,3,3,2,1,2,3,2,2,13,41,37,31,21
